FirstName,LastName,Email,Phone,Gender,Status,Profile,Location,DateCreated,DateUpdated
Nishant,Shukla,nishantshukla332@gmail.com,7678881312,Male,InActive,image-1725976256818.Eaebud_invoice.jpg,Jaunpur,Tue Sep 10 2024 07:20:57 GMT+0530 (India Standard Time),-
Nishu,Shu,nishy123@gmail.com,1122223331,Male,Active,image-1725976299366.live_site.png,Jaunpur,Tue Sep 10 2024 07:21:39 GMT+0530 (India Standard Time),-
Ni3,Shukla,la332@gmail.com,7678800000,Female,InActive,image-1725977599190.349872.jpg,Kanpur,Tue Sep 10 2024 07:43:19 GMT+0530 (India Standard Time),-
temp,Shukla,kla332@gmail.com,9161780000,Female,InActive,image-1725977686202.5th sem timetable.jpg,bla,Tue Sep 10 2024 07:44:46 GMT+0530 (India Standard Time),Sat Sep 14 2024 01:39:59 GMT+0530 (India Standard Time)
ni3,user,user@gmail.com,0000000000,Female,Active,image-1725977770357.vs_code.png,khklhlhkkk,Tue Sep 10 2024 07:46:10 GMT+0530 (India Standard Time),-
Ni3s,s,s@gmail.com,1000000000,Female,Active,image-1725978126062.github.png,Lucknow,Tue Sep 10 2024 07:52:06 GMT+0530 (India Standard Time),-
Temp2,Tempo,tempo@gmail.com,1200000000,Female,InActive,image-1725978182428.photo-1519681393784-d120267933ba.jpg,bla bla bla,Tue Sep 10 2024 07:53:02 GMT+0530 (India Standard Time),-
1,1,1@gmail.com,1111111111,Female,Active,image-1726258269340.Screenshot (107).png,1,Sat Sep 14 2024 01:41:09 GMT+0530 (India Standard Time),-
2,2,2@gmail.com,2222222222,Male,InActive,image-1726258301928.349872.jpg,2,Sat Sep 14 2024 01:41:42 GMT+0530 (India Standard Time),-
3,3,3@gmail.com,3333333333,Male,Active,image-1726258408808.ducati_wallpaper.jpg,3,Sat Sep 14 2024 01:43:28 GMT+0530 (India Standard Time),-
4,4,4@gmail.com,4444444444,Female,InActive,image-1726258487732.myimage (3).jpg,4,Sat Sep 14 2024 01:44:47 GMT+0530 (India Standard Time),-
5,5,5@gmail.com,5555555555,Male,InActive,image-1726258750263.ducati_wallpaper.jpg,5,Sat Sep 14 2024 01:49:10 GMT+0530 (India Standard Time),-
10,10,10@gmail.com,1010101010,Female,InActive,image-1726311283725.live_site2.jpg,10,Sat Sep 14 2024 04:24:43 GMT+0530 (India Standard Time),-
11,11,11@gmail.com,9161780001,Female,InActive,image-1726311391755.github.png,11,Sat Sep 14 2024 04:26:31 GMT+0530 (India Standard Time),-
